"Var1","Freq"
"BROOKLYN",952573
"NEW YORK",617692
"BRONX",574475
"STATEN ISLAND",156283
"Jamaica",50658
"Flushing",34821
"Astoria",29048
"JAMAICA",24566
"FLUSHING",23322
"ASTORIA",21038
"Ridgewood",20695
"Far Rockaway",17947
"South Richmond Hill",16474
"Woodside",14735
"Corona",14452
"Elmhurst",14189
"RIDGEWOOD",13591
"Queens Village",12912
"Forest Hills",12422
"Ozone Park",12056
"Long Island City",11306
"Jackson Heights",10994
"CORONA",9966
"East Elmhurst",9960
"WOODSIDE",9885
"Fresh Meadows",9627
"South Ozone Park",9394
"LONG ISLAND CITY",9271
"EAST ELMHURST",8654
"Rego Park",8584
"Saint Albans",8358
"Richmond Hill",8293
"Springfield Gardens",8209
"OZONE PARK",8106
"Maspeth",7784
"FOREST HILLS",7616
"ELMHURST",7482
"Woodhaven",7328
"Whitestone",7162
"Bayside",7140
"MASPETH",7074
"Hollis",6810
"SOUTH RICHMOND HILL",6763
"SOUTH OZONE PARK",6528
"JACKSON HEIGHTS",6506
"FRESH MEADOWS",6497
"QUEENS VILLAGE",6443
"Howard Beach",6142
"Sunnyside",5984
"WOODHAVEN",5890
"Rosedale",5791
"MIDDLE VILLAGE",5689
"BAYSIDE",5611
"Middle Village",5558
"Rockaway Park",5373
"Kew Gardens",5208
"Oakland Gardens",5196
"RICHMOND HILL",5131
"WHITESTONE",4991
"Little Neck",4809
"College Point",4781
"REGO PARK",4634
"FAR ROCKAWAY",4601
"Arverne",4199
"HOWARD BEACH",4145
"COLLEGE POINT",4074
"Cambria Heights",3972
"SPRINGFIELD GARDENS",3891
"LITTLE NECK",3676
"SAINT ALBANS",3255
"OAKLAND GARDENS",3234
"HOLLIS",3153
"ROSEDALE",2962
"Bellerose",2759
"SUNNYSIDE",2573
"ROCKAWAY PARK",2534
"KEW GARDENS",2532
"BELLEROSE",2252
"Glen Oaks",2117
"CAMBRIA HEIGHTS",1959
"GLEN OAKS",1261
"ARVERNE",978
"QUEENS",716
"FLORAL PARK",554
"Floral Park",538
"New Hyde Park",410
"NEW HYDE PARK",340
"BREEZY POINT",215
"Breezy Point",211
"CENTRAL PARK",204
"N/A",2
"BEDFORD HILLS",1
"BELLMORE",1
"MANHATTAN",1
"NEW HEMPSTEAD",1
"SOMERVILLE",1
"UNKNOWN",1
"WESTBURY",1
"WOOSIDE",1
"ANAHEIM",0
"EDGEWATER",0
"ISLANDIA",0
"NEW ROCHELLE",0
"NEWARK",0
